ID,locality,zipcode,Building condition,Price,Kitchen type,Living area,Furnished,Surface of the plot,Number of frontages,Swimming pool,Bedrooms,Garden,Garden surface,Terrace,Terrace surface,Type of property
10309765,uccle,1180,To reFalsevate,649000,Falset installed,300 m² square meters,FALSE,263 m² square meters,2,FALSE,5,TRUE,195 m² square meters,TRUE,20 m² square meters,House
10324021,jette,1090,To reFalsevate,280000,Semi equipped,147 m² square meters,FALSE,40 m² square meters,2,FALSE,4,FALSE,0,FALSE,0,House
10323880,spa,4900,To be done up,845000,Installed,346 m² square meters,FALSE,3375 m² square meters,4,FALSE,3,FALSE,0,TRUE,0,Apartment
10235825,la-louviere,7100,To be done up,135000,Semi equipped,170 m² square meters,FALSE,258 m² square meters,2,FALSE,3,FALSE,0,TRUE,0,House
10329933,amay,4540,Good,249500,Installed,125 m² square meters,FALSE,1440 m² square meters,3,FALSE,2,TRUE,1337 m² square meters,TRUE,20 m² square meters,House
10329931,bouillon-bellevaux,6834,Good,295000,Semi equipped,221 m² square meters,FALSE,2339 m² square meters,3,FALSE,5,TRUE,1500 m² square meters,TRUE,50 m² square meters,House
10328969,nazareth,9810,To reFalsevate,325000,Installed,126 m² square meters,FALSE,585 m² square meters,4,FALSE,3,FALSE,0,TRUE,15 m² square meters,House
10306386,seraing-ougree,4102,To reFalsevate,70000,Falset installed,75 m² square meters,FALSE,302 m² square meters,3,FALSE,2,TRUE,220 m² square meters,FALSE,0,House
10306657,geraardsbergen,9500,NaN,0,FALSE,0,FALSE,0,0,FALSE,0,FALSE,0,FALSE,0,House
10306431,geraardsbergen-moerbeke,9500,NaN,0,FALSE,0,FALSE,0,0,FALSE,0,FALSE,0,FALSE,0,House
10306558,gent-mariakerke,9030,NaN,0,FALSE,0,FALSE,0,0,FALSE,0,FALSE,0,FALSE,0,House
10308505,emblem,2520,NaN,0,FALSE,0,FALSE,0,0,FALSE,0,FALSE,0,FALSE,0,House
10306539,bruxelles,1120,Just reFalsevated,450000,Installed,110 m² square meters,FALSE,173 m² square meters,2,FALSE,3,TRUE,120 m² square meters,TRUE,25 m² square meters,House
10308637,rosieres,1331,As new,525000,Hyper equipped,164 m² square meters,FALSE,947 m² square meters,4,FALSE,3,TRUE,552 m² square meters,TRUE,104 m² square meters,Apartment
10306588,gent-gentbrugge,9050,NaN,0,FALSE,0,FALSE,0,0,FALSE,0,FALSE,0,FALSE,0,House
