ID,locality,zipcode,Building condition,Price,Kitchen type,Living area,Furnished,Surface of the plot,Number of frontages,Swimming pool,Bedrooms,Garden,Garden surface,Terrace,Terrace surface,Type of property
10308637,rosieres,1331,As new,525000,TRUE,164,TRUE,947,4,TRUE,3,TRUE,552,TRUE,104,Apartment
10306588,gent-gentbrugge,9050,,0,FALSE,0,TRUE,0,0,TRUE,0,FALSE,0,TRUE,0,House
10307305,jette,1090,Just reFalsevated,575000,TRUE,290,TRUE,197,2,TRUE,6,TRUE,60,TRUE,40,House
10306370,dilbeek,1700,Good,649000,TRUE,243,TRUE,1000,3,TRUE,4,FALSE,0,TRUE,0,House
10315367,braine-lalleud,1420,Good,290000,TRUE,76,TRUE,120,2,TRUE,3,TRUE,32,TRUE,16,House
10323471,vilvorde-koningslo,1800,As new,419000,TRUE,180,TRUE,216,2,TRUE,5,TRUE,110,TRUE,18,House
10321200,ixelles,1050,To reFalsevate,575000,FALSE,225,TRUE,118,2,TRUE,4,TRUE,35,TRUE,0,House
10328445,lierde,9570,To reFalsevate,179000,TRUE,150,TRUE,226,2,TRUE,3,FALSE,0,TRUE,0,House
10326898,bruxelles,1000,As new,810000,TRUE,365,TRUE,150,2,TRUE,4,FALSE,0,TRUE,0,Mansion
10327357,duffel,2570,To be done up,880000,TRUE,447,TRUE,900,4,TRUE,5,TRUE,0,TRUE,0,House
10304760,deinze,9800,,0,FALSE,0,TRUE,0,0,TRUE,0,FALSE,0,TRUE,0,House
10328123,bruxelles,1000,To be done up,595000,FALSE,250,TRUE,56,2,TRUE,8,FALSE,0,TRUE,10,House
10312897,liege-grivegnee,4030,To be done up,125000,TRUE,70,TRUE,49,2,TRUE,2,FALSE,0,TRUE,0,House
10312898,trooz,4870,To reFalsevate,195000,TRUE,125,TRUE,401,4,TRUE,4,TRUE,400,TRUE,0,House
10277075,antwerp,2060,To be done up,310000,TRUE,218,TRUE,88,2,TRUE,0,FALSE,0,TRUE,15,Apartment
10330639,mol,2400,Good,650000,TRUE,350,TRUE,2375,4,TRUE,4,TRUE,1800,TRUE,85,Mansion
10330628,betekom,3130,To reFalsevate,299000,TRUE,200,TRUE,1660,4,TRUE,3,TRUE,0,TRUE,0,House
10330625,soignies-casteau,7061,As new,299000,TRUE,177,TRUE,280,2,TRUE,3,TRUE,180,TRUE,15,House
10330623,bruxelles,1120,Good,675000,TRUE,265,TRUE,444,2,TRUE,7,TRUE,250,TRUE,20,House
10173768,ixelles,1050,,650000,TRUE,140,TRUE,0,0,TRUE,3,FALSE,0,TRUE,25,House
10330617,mons,7000,To be done up,249000,TRUE,117,TRUE,0,2,TRUE,2,FALSE,0,TRUE,15,House
10330610,lembeek,1502,,595000,FALSE,340,TRUE,1216,4,TRUE,4,FALSE,0,TRUE,0,House
10239196,waterloo,1410,As new,770000,TRUE,231,TRUE,601,4,TRUE,4,TRUE,601,TRUE,0,House
10315919,zemst-eppegem,1980,Good,649000,TRUE,212,TRUE,1100,4,TRUE,4,TRUE,954,TRUE,31,Mansion
