ID,Locality,Sale_rent,Zipcode,Building condition,Price,Kitchen type,Living area,Furnished,Surface of the plot,Number of frontages,Swimming pool,Bedrooms,Garden,Garden surface,Terrace,Terrace surface,Type of property
10338964,waterloo,for-sale,1410,True,455000,True,124 m² square meters,False,0,0,False,3,False,0,True,15 m² square meters,House
10341180,anderlecht,for-sale,1070,True,175000,True,45 m² square meters,False,0,2,False,1,False,0,True,30 m² square meters,Mixed-use building
10340836,liege,for-sale,4000,True,265000,True,110 m² square meters,False,134 m² square meters,2,False,2,True,64 m² square meters,False,0,Mixed-use building
10340813,saint-nicolas,for-sale,4420,True,279000,True,140 m² square meters,False,688 m² square meters,4,False,4,True,400 m² square meters,True,0,House
10340857,schaerbeek,for-sale,1030,False,0,False,0,False,0,0,False,0,False,0,False,0,Apartment
10341051,waterloo,for-sale,1410,False,0,False,0,False,0,0,False,0,False,0,False,0,Apartment
10341195,ixelles,for-sale,1050,True,399000,True,75 m² square meters,False,0,2,False,2,False,0,True,34 m² square meters,House
10341678,geraardsbergen,for-sale,9500,False,0,False,0,False,0,0,False,0,False,0,False,0,House
10340869,bruxelles,for-sale,1020,True,549000,True,205 m² square meters,False,210 m² square meters,2,False,4,True,75 m² square meters,True,6 m² square meters,House
10341179,woluwe-saint-pierre,for-sale,1150,True,699000,True,160 m² square meters,False,138 m² square meters,2,False,4,True,81 m² square meters,True,13 m² square meters,House
10341178,kampenhout,for-sale,1910,True,995000,True,275 m² square meters,False,1538 m² square meters,4,False,4,True,1324 m² square meters,True,30 m² square meters,Mixed-use building
10340154,schaerbeek,for-sale,1030,True,137500,True,28 m² square meters,False,0,4,False,1,False,0,True,2 m² square meters,Apartment
10339561,liege,for-sale,4020,True,145000,True,106 m² square meters,False,0,2,False,2,False,0,True,10 m² square meters,Apartment
9881253,brussels-city,for-sale,1000,False,0,False,0,False,0,0,False,0,False,0,False,0,Apartment
10339573,bruxelles,for-sale,1000,False,0,False,0,False,0,0,False,0,False,0,False,0,Apartment
10338765,petit-hallet,for-sale,4280,True,236000,True,140 m² square meters,False,470 m² square meters,2,False,3,True,200 m² square meters,True,40 m² square meters,House
10340155,brussels-city,for-sale,1000,True,255000,True,67 m² square meters,True,0,2,False,2,False,0,True,10 m² square meters,Apartment
10339513,heist-op-den-berg,for-sale,2220,False,0,False,0,False,0,0,False,0,False,0,False,0,Apartment
10340227,molenbeek-saint-jean,for-sale,1080,True,270000,True,90 m² square meters,False,0,2,False,2,False,0,True,15 m² square meters,Apartment
10338733,schaerbeek,for-sale,1030,True,330000,True,102 m² square meters,False,0,2,False,2,False,0,True,32 m² square meters,Apartment
10338735,woluwe-saint-lambert,for-sale,1200,True,340000,True,85 m² square meters,False,0,2,False,2,False,0,True,4 m² square meters,Apartment
10340196,gent,for-sale,9052,False,0,False,0,False,0,0,False,0,False,0,False,0,Apartment
10339016,braine-lalleud,for-sale,1420,False,0,False,0,False,0,0,False,0,False,0,False,0,Apartment
10339139,nivelles,for-sale,1400,True,399000,True,98 m² square meters,False,589 m² square meters,4,False,3,True,466 m² square meters,True,31 m² square meters,House
10339760,bruxelles,for-sale,1000,False,0,False,0,False,0,0,False,0,False,0,False,0,Apartment
10338975,grimbergen,for-sale,1850,True,449000,True,192 m² square meters,False,169 m² square meters,2,False,5,False,0,True,0,House
